m1,n1,m2,n2,cuda_accuracy,lin_scale_accuracy,cuda_average,lin_scale_average,accuracy_improvement
100.0,4.0,100.0,4.0,[7.38218e-24],[7.38624e-24],7.38218e-24,7.38624e-24,0.9994503292608959
100.0,8.0,100.0,8.0,[3.64375e-23],[3.7073e-23],3.64375e-23,3.7073e-23,0.982858144741456
100.0,16.0,100.0,16.0,[9.165e-23],[9.11809e-23],9.165e-23,9.11809e-23,1.0051447178082253
200.0,4.0,200.0,4.0,[2.38221e-24],[2.40665e-24],2.38221e-24,2.40665e-24,0.9898448050194255
200.0,8.0,200.0,8.0,[3.61748e-24],[3.59875e-24],3.61748e-24,3.59875e-24,1.0052045849253213
200.0,16.0,200.0,16.0,[4.80447e-23],[4.85573e-23],4.80447e-23,4.85573e-23,0.9894433998595473
400.0,4.0,400.0,4.0,[2.04571e-25],[2.07233e-25],2.04571e-25,2.07233e-25,0.9871545555003305
400.0,8.0,400.0,8.0,[9.23163e-25],[8.61449e-25],9.23163e-25,8.61449e-25,1.0716397604501253
400.0,16.0,400.0,16.0,[7.12584e-24],[8.06404e-24],7.12584e-24,8.06404e-24,0.8836563310697864
800.0,4.0,800.0,4.0,[9.34219e-26],[9.69591e-26],9.34219e-26,9.69591e-26,0.9635186382711887
800.0,8.0,800.0,8.0,[3.61764e-25],[3.91094e-25],3.61764e-25,3.91094e-25,0.9250052417065974
800.0,16.0,800.0,16.0,[1.82307e-24],[2.33008e-24],1.82307e-24,2.33008e-24,0.7824066126484928
1600.0,4.0,1600.0,4.0,[5.55973e-26],[7.01127e-26],5.55973e-26,7.01127e-26,0.7929704604158733
1600.0,8.0,1600.0,8.0,[1.19833e-25],[5.64597e-26],1.19833e-25,5.64597e-26,2.1224519435987084
1600.0,16.0,1600.0,16.0,[1.26967e-24],[6.4615e-25],1.26967e-24,6.4615e-25,1.9649771724831697
3200.0,4.0,3200.0,4.0,[3.69797e-26],[6.75398e-27],3.69797e-26,6.75398e-27,5.4752457069757385
3200.0,8.0,3200.0,8.0,[2.69976e-25],[1.43148e-26],2.69976e-25,1.43148e-26,18.859921200435913
3200.0,16.0,3200.0,16.0,[1.30459e-24],[1.91947e-25],1.30459e-24,1.91947e-25,6.796615732467817
6400.0,4.0,6400.0,4.0,[5.9642e-26],[4.03614e-27],5.9642e-26,4.03614e-27,14.776989896287047
6400.0,8.0,6400.0,8.0,[4.57076e-25],[9.38543e-27],4.57076e-25,9.38543e-27,48.70059230104534
6400.0,16.0,6400.0,16.0,[5.01396e-24],[2.64768e-26],5.01396e-24,2.64768e-26,189.37182741116752
