m1,n1,m2,n2,cuda_times,lin_scale_times,cuda_average,lin_scale_average,speed_up
100.0,4.0,100.0,4.0,"[16.5618, 17.3158, 19.5666, 19.0026, 17.2775]","[7.73603, 8.10253, 7.13376, 9.20989, 6.91782]",18.290625000000002,7.840999999999999,2.3326903456191816
100.0,8.0,100.0,8.0,"[16.9044, 17.0761, 17.7891, 17.7603, 17.4853]","[7.34413, 7.8496, 6.73168, 7.92896, 6.60291]",17.5277,7.278287499999999,2.4082175923938154
100.0,16.0,100.0,16.0,"[18.5144, 18.4713, 18.5121, 19.4245, 18.133]","[6.86576, 7.59258, 6.74282, 7.77648, 7.53738]",18.635225,7.4123149999999995,2.5140897277031535
200.0,4.0,200.0,4.0,"[17.6309, 18.5383, 18.6451, 17.5979, 18.0634]","[8.26982, 7.69152, 6.90106, 7.05331, 7.64787]",18.211175,7.323440000000001,2.4866968255355406
200.0,8.0,200.0,8.0,"[19.2723, 20.4081, 19.0387, 19.358, 19.2969]","[6.79219, 6.62502, 6.83456, 9.3225, 8.20314]",19.525425,7.7463049999999996,2.520611439905865
200.0,16.0,200.0,16.0,"[21.9034, 21.8085, 21.703, 22.1363, 23.3185]","[7.49526, 9.55472, 7.64246, 7.43981, 9.59402]",22.241574999999997,8.5577525,2.5989972250307543
400.0,4.0,400.0,4.0,"[20.772, 21.2053, 20.6175, 20.0678, 20.5212]","[9.36157, 9.46381, 6.97754, 8.31133, 7.32499]",20.60295,8.0194175,2.5691329825389437
400.0,8.0,400.0,8.0,"[25.1568, 24.6494, 25.088, 25.6762, 26.3298]","[8.45978, 6.99856, 6.98314, 6.88058, 9.21338]",25.435850000000002,7.518915,3.3829149551497792
400.0,16.0,400.0,16.0,"[35.9935, 34.8264, 35.5514, 35.9854, 35.4938]","[9.78931, 7.33318, 8.73366, 10.0634, 8.8113]",35.46425,8.735385,4.059838232659464
800.0,4.0,800.0,4.0,"[32.486, 31.9382, 31.0548, 31.535, 31.3347]","[10.3937, 8.92698, 8.73139, 7.96067, 8.91869]",31.465674999999997,8.634432499999999,3.64420881163875
800.0,8.0,800.0,8.0,"[48.9009, 48.4355, 48.7473, 49.7327, 48.8771]","[7.81731, 7.65853, 7.71642, 7.34179, 8.22486]",48.94815,7.7354,6.327811102205445
800.0,16.0,800.0,16.0,"[89.5876, 84.2283, 89.8564, 90.2142, 83.6984]","[8.03293, 9.98675, 8.20438, 9.68144, 10.9254]",86.999325,9.699492500000002,8.969471856388362
1600.0,4.0,1600.0,4.0,"[65.3601, 64.7904, 73.3637, 74.6414, 73.3075]","[10.0556, 8.99526, 8.58522, 9.09469, 10.6075]",71.52575,9.3206675,7.673887090168166
1600.0,8.0,1600.0,8.0,"[144.638, 134.945, 126.047, 126.501, 125.541]","[10.0773, 11.0564, 9.11507, 9.75331, 9.93309]",128.25849999999997,9.9644675,12.871585962822396
1600.0,16.0,1600.0,16.0,"[302.848, 284.516, 291.485, 281.231, 284.409]","[11.9936, 10.1208, 8.50003, 9.7463, 8.43331]",285.41025,9.200109999999999,31.022482339885073
3200.0,4.0,3200.0,4.0,"[220.646, 209.858, 209.003, 208.427, 209.895]","[10.3807, 10.1283, 10.424, 9.69286, 8.51702]",209.29575,9.690545,21.597933862336948
3200.0,8.0,3200.0,8.0,"[453.634, 467.908, 453.371, 454.595, 470.082]","[9.71626, 10.7787, 9.83834, 9.78016, 11.0033]",461.48900000000003,10.350125000000002,44.58777067909807
3200.0,16.0,3200.0,16.0,"[1030.89, 1026.47, 1029.68, 1030.51, 1059.9]","[11.8444, 11.8047, 12.8336, 10.8592, 12.4931]",1036.6399999999999,11.99765,86.40358736919312
6400.0,4.0,6400.0,4.0,"[786.139, 785.292, 785.748, 788.443, 787.462]","[13.2199, 15.1033, 13.3686, 13.0108, 15.3445]",786.73625,14.206800000000001,55.37744249232762
6400.0,8.0,6400.0,8.0,"[1793.21, 1787.71, 1788.7, 1787.51, 1787.81]","[13.9453, 17.0437, 14.1683, 17.1917, 15.9457]",1787.9325,16.08735,111.13903159936223
6400.0,16.0,6400.0,16.0,"[20453.6, 23095.2, 22784.2, 20393.6, 20398.1]","[32.4868, 95.2933, 86.3288, 31.8613, 33.0935]",21667.775,61.644225,351.4972408202066
